Metai;Vieta;Keliu_eismo_ivykiu_skaicius;Ivykiu_sk._1k gyv.;Gyventoju_sk;Gyventoju_tankumas;Auto_sk_1k_gyv;Pareigunu_sk;Islaidos_keliams_(mln._EUR)
2000;Lietuvos Respublika;;;;;;;181.3
2001;Lietuvos Respublika;;;;;;;148.9
2002;Lietuvos Respublika;;;;;;;219.0
2003;Lietuvos Respublika;5965;1,738308383;3431497;52,54972435;340;;263.8
2004;Lietuvos Respublika;6357;1,870295025;3398929;52,05098009;362;;258.6
2005;Lietuvos Respublika;6772;2,01834753;3355220;51,38162328;408;;290.5
2006;Lietuvos Respublika;6588;2,002532042;3289835;50,38032159;451;;332.4
2007;Lietuvos Respublika;6448;1,984010378;3249983;49,77003063;450;;510.1
2008;Lietuvos Respublika;4796;1,492869494;3212605;49,19762634;477;;735.3
2009;Lietuvos Respublika;3805;1,195091738;3183856;48,757366;496;;373.9
2010;Lietuvos Respublika;3530;1,123496806;3141976;48,11601838;509;;460.8
2011;Lietuvos Respublika;3266;1,069911826;3052588;46,74713629;524;;430.5
2012;Lietuvos Respublika;3391;1,128963148;3003641;45,99756508;541;;474.7
2013;Lietuvos Respublika;3391;1,141018976;2971905;45,51156202;562;;520.5
2014;Lietuvos Respublika;3225;1,095644871;2943472;45,07614089;370;;460.3
2015;Lietuvos Respublika;3031;1,037565271;2921262;44,73601838;385;;592.4
